template,send_month,option,subject,preheader,hero_image,hero_alt,eyebrow,issue_date,headline,body_paragraph_1,body_paragraph_2,cta_url,cta_text,tip_label,tip_headline,tip_body,tip_link_url,tip_link_text,points_label,point_1_title,point_1_body,point_2_title,point_2_body,point_3_title,point_3_body,aside_label,aside_body,note_label,note_body
Core Service,Jan 2027 · Janitorial,C,The lobby floor tells visitors how the building is run,"The details visitors notice, managed on a schedule.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,"Polished floor reflecting overhead lights, crew behind",JANITORIAL & CLEANING,,The lobby floor tells visitors how the building is run.,Floor care isn't cosmetic in winter. Grit left on hard floors grinds finish down and turns a maintained surface into a replacement line item.,"Our crews are trained and accountable by name, so the details visitors notice are managed, not left to chance.",,,,,,,,BUILT NOT TO DRIFT,DEFINED BY AREA,You approve the schedule; we hold it through the season.,CHECKED PROACTIVELY,"Inspections are scheduled, not triggered by a complaint.",ONE PLACE,Work starts and finishes where your team already looks.,WHY IT HOLDS ALL WINTER,"The details that survive winter are the ones a trained, accountable crew is responsible for by name.",,
Core Service,Feb 2027 · Repairs,A,The cheapest repair is the one you schedule,"Inspections, filters, coils and repairs before the cold finds them.",https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Tech changing rooftop HVAC filters in cold weather,REPAIRS & MAINTENANCE,,The cheapest repair is the one you scheduled in advance.,"The first cold snap doesn't create problems so much as reveal the ones you deferred all year. Heating systems fail on the coldest night, not a convenient one.","We handle the inspection, the filters, the coils and the repairs — so the first cold night is uneventful instead of an emergency.",,,,,,,,HOW WE STAY AHEAD OF IT,"INSPECTED, NOT ASSUMED","Heating, cooling and building systems are inspected on a schedule, not when they fail.",DOCUMENTED FINDINGS,Anything found on a preventive visit is logged and closed as a work order in your system.,ONE NUMBER TO CALL,"One number for every system, with vetted trade partners for the specialty work.",WHO STAYS AHEAD OF IT,"Preventive work depends on the team behind it. Our own crews plus vetted, insured trade partners keep every system on schedule.",,
Core Service,Feb 2027 · Repairs,B,Cold snaps find every system you deferred,Preventive maintenance that keeps small problems small.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,Maintenance inspecting a boiler room with a checklist,REPAIRS & MAINTENANCE,,Cold snaps find every system you deferred.,"Preventive maintenance is the cheapest work you'll do all winter, because the alternative is an emergency call at the worst time and price.","Preventive visits are scheduled and documented, and anything we find closes as a work order in the system you already use.",,,,,,,,BEFORE THE COLD FINDS IT,ON A SCHEDULE,"Preventive tasks are documented by system and interval, so nothing is assumed.",CLOSED AS WORK ORDERS,Findings don't get lost between visits — they're documented and tracked to done.,VETTED PARTNERS,You call one place; we coordinate the trades behind it.,THE TEAM BEHIND IT,"One accountable team, one bench of vetted partners — so nothing waits on 'who do we call.'",,
Core Service,Feb 2027 · Repairs,C,Preventive maintenance before winter does the finding,One call for every system in the building.,https://emailpreviews-production.up.railway.app/brand/sample-hero-team.jpg,"Frost on a window, warm interior, tech at work",REPAIRS & MAINTENANCE,,Preventive maintenance before winter does the finding for you.,"Every system in the building has a season. Heading into winter, the ones you haven't inspected are the ones most likely to find you first.","One team, one number, and vetted trade partners for the specialty work — so every system is covered before the season tests it.",,,,,,,,WHY IT'S CHEAPER THIS WAY,AHEAD OF THE SEASON,We check the things that fail in winter before winter arrives.,NOTHING LOST,"You see what we checked and what we fixed, on the record.",EVERY SYSTEM COVERED,Every system covered under one accountable contract.,VETTED PARTNERS,"We keep the specialty trades vetted and ready, so preventive work actually happens on time.",,
Seasonal,Sep 2026 · Heating prep,A,"Your heating fails on the coldest night, not a convenient one","Inspection, filters, coils and repairs before the season loads the system.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Tech servicing a rooftop heating unit, cold sky",HEATING SEASON,,Your heating system will fail on the coldest night — not a convenient one.,"Your heating equipment has been idle for months and is about to run flat-out. Dirt, wear and deferred fixes are the leading causes of a system failing exactly when you need it most.","We handle the inspection, the filters, the coils and the repairs, so the first cold night is uneventful. One contract covers heating now and cooling in spring.",https://www.safetyfacilityservices.com/request-a-quote,REQUEST A QUOTE,SAFETY TIP,A Clean System Is a Cheaper System,Replacing a dirty filter with a clean one can cut a unit's energy use by 5 to 15 percent. Pair it with a coil and lighting check and the savings land on the same bill.,https://www.safetyfacilityservices.com/services,LEARN MORE,,,,,,,,,,GOOD TO KNOW,Service cooling equipment in spring and heating in fall — contractors book solid the week the weather turns.
Seasonal,Sep 2026 · Heating prep,B,The first cold snap finds every system you deferred,Contractors book solid the week the weather turns.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Boiler-room inspection with a checklist,HEATING SEASON,,The first cold snap doesn't cause problems. It reveals the ones you deferred.,"The first real cold doesn't create problems so much as reveal the ones that sat all year — and it reveals them on the coldest night, at emergency rates.","We inspect proactively, document what we find, and close any repair in the system you already use — before the weather forces the issue.",https://www.safetyfacilityservices.com/request-a-quote,SCHEDULE HEATING SERVICE,SAFETY TIP,Filters Are the Cheapest Repair You'll Make,"A clogged filter forces the system to work harder to move the same air, driving up energy use and shortening equipment life. Monthly checks pay for themselves.",https://www.safetyfacilityservices.com/services,SEE THE CHECKLIST,,,,,,,,,,GOOD TO KNOW,The first cold week is when every building calls at once; scheduling now means you're not in that line.
Seasonal,Sep 2026 · Heating prep,C,Book heating service before the week the weather turns,We handle heating and cooling on one contract.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Thermostat handoff in a warm, lit lobby",HEATING SEASON,,The cheapest heating repair is the one you schedule in September.,"Heating service is cheap and boring in September. In January it's an emergency call, if you can get one — contractors book solid the week the weather turns.","Our own teams and vetted trade partners keep every system on schedule, so you're not competing for a contractor when everyone else needs one too.",https://www.safetyfacilityservices.com/request-a-quote,BOOK AN INSPECTION,SAFETY TIP,Heat Rises — So Do Deferred Repairs,Deferred heating repairs don't get cheaper with time — they get more expensive and more urgent. The fix scheduled now is the emergency you avoid in January.,https://www.safetyfacilityservices.com/services,GET THE GUIDE,,,,,,,,,,GOOD TO KNOW,Heating tune-ups booked before October are routine; booked in January they're emergencies.
Seasonal,Oct 2026 · Weatherization,A,The gaps you can't see are the ones winter finds,"Seals, gutters and exterior gaps, handled before the cold gets in.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Worker sealing exterior window/door gaps,WEATHERIZATION,,The gaps you can't see are the ones winter finds first.,"Warm air leaves and cold air gets in through gaps you never see — around doors, windows, docks and roof penetrations. Every one is a line on your winter energy bill.","We walk the envelope, seal what's leaking, and handle gutters, drainage and exterior gaps on one scope — before the first freeze locks it all in.",https://www.safetyfacilityservices.com/request-a-quote,REQUEST A WALKTHROUGH,SAFETY TIP,A Dollar of Sealant Saves Ten in Heat,"Sealing air leaks around doors, windows and penetrations is one of the highest-return maintenance dollars you can spend before winter.",https://www.safetyfacilityservices.com/services,LEARN MORE,,,,,,,,,,GOOD TO KNOW,Weatherization done before the first freeze locks in savings for the whole season.
Seasonal,Oct 2026 · Weatherization,B,Seal it now or heat the parking lot all winter,Small drafts are big energy bills by January.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Gutter cleaning from a ladder, fall leaves",WEATHERIZATION,,Every draft is a line on January's energy bill.,Weatherization is the least glamorous work you'll do all year and among the highest-return. A weekend of sealing offsets months of overworked heating.,It's one walkthrough now against an emergency and a utility spike later. We mark what needs sealing and price it against what the building needs.,https://www.safetyfacilityservices.com/request-a-quote,SEAL IT NOW,SAFETY TIP,"Small Drafts, Big Bills",A gap you can't feel in October is a draft you can't ignore in January. Small leaks add up to a real share of heating cost.,https://www.safetyfacilityservices.com/services,SEE THE CHECKLIST,,,,,,,,,,GOOD TO KNOW,Exterior sealing gets harder and costlier once temperatures drop — October is the window.
Seasonal,Oct 2026 · Weatherization,C,"Weatherize in October, skip the January emergency",One walkthrough now saves an emergency later.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Weatherstripping a loading-dock door,WEATHERIZATION,,"Seal it in October, or heat the outdoors until March.",The building envelope is your first defense against winter. Handled in October it's routine; discovered in January it's an emergency and a utility bill.,"Weatherization runs on the same contract as everything else, so there's one number to call and one team accountable for the result.",https://www.safetyfacilityservices.com/request-a-quote,GET A QUOTE,SAFETY TIP,The Envelope Pays You Back,The building envelope quietly determines your winter energy bill. Tightening it once pays back every cold month that follows.,https://www.safetyfacilityservices.com/services,GET THE GUIDE,,,,,,,,,,GOOD TO KNOW,Gutters and drainage cleared before the leaves finish falling save you a mid-winter emergency.
Seasonal,Nov 2026 · Snow & ice,A,"One slip on your walkway is a claim, not an inconvenience","Salt, plows and crews on standby before the first flake.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Crew salting/plowing a commercial walkway at dawn,SNOW & ICE SEASON,,"One slip on an uncleared walk is a claim, not an inconvenience.","Snow and ice turn every walkway, entrance and lot into a liability the moment they land. One slip on an uncleared surface is a claim, not an inconvenience.","We stage salt, equipment and crews before the season and respond on a defined trigger, so your walks and lots are clear before the first foot hits them.",https://www.safetyfacilityservices.com/request-a-quote,LOCK IN COVERAGE,SAFETY TIP,Ice Doesn't Forgive a Slow Start,"Pre-treating walks and lots before a storm keeps ice from bonding, which makes clearing faster and surfaces safer. Prevention costs a fraction of a claim.",https://www.safetyfacilityservices.com/services,LEARN MORE,,,,,,,,,,GOOD TO KNOW,Snow contracts signed before the season guarantee you a crew when the storm actually hits.
Seasonal,Nov 2026 · Snow & ice,B,Snow doesn't wait for a purchase order,Slip-and-fall claims start on an uncleared walk.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Snowplow clearing a parking lot,SNOW & ICE SEASON,,Snow doesn't wait for a purchase order.,"Winter weather doesn't schedule around your purchase orders. The storm arrives, and either your crew is already assigned or you're calling around at 5 a.m.","Snow, ice and slip-and-fall prevention run on the same contract as the rest of your program — one scope, one invoice, one number when it storms.",https://www.safetyfacilityservices.com/request-a-quote,REQUEST A QUOTE,SAFETY TIP,The Cheapest Claim Is One You Prevent,Most slip-and-fall incidents happen on surfaces that were 'about to be' cleared. A defined response trigger removes the guesswork.,https://www.safetyfacilityservices.com/services,SEE THE CHECKLIST,,,,,,,,,,GOOD TO KNOW,The buildings that stay clear are the ones that arranged coverage before the first flake.
Seasonal,Nov 2026 · Snow & ice,C,Lock in snow-and-ice coverage before the first storm,"One number for snow, ice and everything else.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Wet-floor caution and mats at a snowy entrance,SNOW & ICE SEASON,,The first storm is a bad time to start looking for a plow.,Slip-and-fall exposure rides along with every storm. The buildings that stay clear are the ones that arranged coverage before the season started.,"We handle the clearing, the treatment and the documentation, so coverage is arranged long before the forecast turns.",https://www.safetyfacilityservices.com/request-a-quote,GET ON THE ROUTE,SAFETY TIP,Pre-Treat Beats Post-Storm,Documented clearing times aren't just safety — they're your defense if a claim ever lands.,https://www.safetyfacilityservices.com/services,GET THE GUIDE,,,,,,,,,,GOOD TO KNOW,Salt and equipment get scarce mid-storm; pre-season staging avoids the shortage.
Seasonal,Dec 2026 · Year-end / 24-7,A,The building doesn't close for the holidays — neither do we,"Live dispatch every day of the year, no answering service.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Dispatcher on a headset at night, phones live",YEAR-END COVERAGE,,The building doesn't close for the holidays. Neither does the phone.,"The building doesn't close for the holidays, and neither do the things that break. A boiler, a leak or a security gap on December 26 doesn't care that the office is dark.",We answer with a live dispatcher 24/7/365 — no answering service — and back it with our own teams and vetted partners for whatever the call turns out to be.,https://www.safetyfacilityservices.com/request-a-quote,TALK TO DISPATCH,SAFETY TIP,A Live Voice Beats a Voicemail,After-hours problems get worse waiting for a callback. A live dispatcher turns a two-day emergency into a same-night fix.,https://www.safetyfacilityservices.com/services,LEARN MORE,,,,,,,,,,GOOD TO KNOW,Confirm holiday coverage now — the week between holidays is the hardest to staff after the fact.
Seasonal,Dec 2026 · Year-end / 24-7,B,Who answers when something breaks on December 26?,Holiday coverage that doesn't skip a beat.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Lit building exterior, holiday quiet",YEAR-END COVERAGE,,Something will break on December 26. Who answers?,Year-end is exactly when coverage thins out and problems don't. The question isn't whether something happens over the holidays — it's who picks up when it does.,"One contract covers repairs, security and facilities straight through the holidays, so a problem on the 26th is our problem, not yours.",https://www.safetyfacilityservices.com/request-a-quote,GET COVERED,SAFETY TIP,Downtime Doesn't Take Holidays,The holidays are when small issues become big ones simply because no one's watching. Continuous coverage closes that gap.,https://www.safetyfacilityservices.com/services,SEE THE CHECKLIST,,,,,,,,,,GOOD TO KNOW,Year-end is when most vendors go quiet; a 24/7 contract means yours doesn't.
Seasonal,Dec 2026 · Year-end / 24-7,C,"24/7/365 live dispatch, no answering service","One call for repairs, security and facilities — even on the 25th.",https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,"Tech responding to an after-hours call, keys in hand",YEAR-END COVERAGE,,"24/7/365 live dispatch — a real person, not an answering service.","Most vendors route you to an answering service after hours. Ours routes you to a live dispatcher, every day of the year, because that's when buildings actually need help.","Coverage doesn't thin out because the calendar says holiday. The same accountable team is on, documented and reachable, every day of the year.",https://www.safetyfacilityservices.com/request-a-quote,REQUEST A QUOTE,SAFETY TIP,Coverage Is Cheapest Before You Need It,Confirm before the break who answers your building's emergency line — and whether it's a person or a machine.,https://www.safetyfacilityservices.com/services,GET THE GUIDE,,,,,,,,,,GOOD TO KNOW,"Line up emergency coverage before the break, not during it."
Seasonal,Jan 2027 · Deep freeze,A,A frozen pipe is a five-figure problem that starts at 32°,We know which pipes freeze first and check them before they do.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Insulated pipes in a cold mechanical room,DEEP FREEZE,,A frozen pipe is a five-figure problem that starts at 32 degrees.,"A frozen pipe is one of the most expensive things that can happen to a building, and it starts quietly at 32 degrees in a spot nobody was watching.","We know which pipes freeze first — the exterior runs, the unheated corners — and check and protect them before the temperature does the testing.",https://www.safetyfacilityservices.com/request-a-quote,SCHEDULE AN INSPECTION,SAFETY TIP,"32 Degrees Is the Warning, Not the Problem",Letting a faucet trickle during extreme cold keeps water moving and can prevent a freeze — a cheap habit against an expensive failure.,https://www.safetyfacilityservices.com/services,LEARN MORE,,,,,,,,,,GOOD TO KNOW,The deepest cold usually lands in January; protecting exposed pipes before then is the cheap move.
Seasonal,Jan 2027 · Deep freeze,B,The deep freeze finds the pipe you forgot about,Frozen pipes don't wait for business hours.,https://emailpreviews-production.up.railway.app/brand/sample-hero-seasonal.jpg,Tech checking an exposed pipe with a thermal reading,DEEP FREEZE,,The deep freeze always finds the pipe you forgot about.,"Deep cold finds the weak point — the uninsulated run, the exterior wall, the pipe on the wrong side of a door. By the time it bursts, prevention is off the table.","Prevention and emergency response live on one contract: we insulate and monitor the weak points, and we're a live call away if the cold wins anyway.",https://www.safetyfacilityservices.com/request-a-quote,REQUEST A QUOTE,SAFETY TIP,Know Your First-to-Freeze Pipe,Know your building's first-to-freeze runs — usually exterior walls and unheated spaces — and insulate them before the cold tests them.,https://www.safetyfacilityservices.com/services,SEE THE CHECKLIST,,,,,,,,,,GOOD TO KNOW,Cold-snap prep is worthless the day the snap arrives — the value is all in doing it early.
